0x124CECFF7280BE52, scripts/core_common/clientids_shared.gsc
0xE31FEB46, clientids_shared
0x45490BB0, godmode
0x2EB51CE4, nocliptoggle1
0xFB12546B, unlimitedammo
0x1CFD7D11, clientopts
0x4C0491D2, testoption
0x4B9A42BC, s
0x2C928F78, unlimitedgametime
0x14A5EBEA, bo4level55
0xE34A1C8C, mp_unlockall
0xC4B2B03F, bo4_addbotstogame
0xBB2733AC, unfair_aimbot
0x4DF2B1C72D43E7FE, scripts/core_common/struct.gsc
0x7C165117833E69F, scripts/core_common/callbacks_shared.gsc
0x487D0473700E6140, scripts/core_common/clientfield_shared.gsc
0x49E73DD2E9D9D345, scripts/core_common/math_shared.gsc
0x39C5D5881CC195B0, scripts/core_common/system_shared.gsc
0x3A7E21B450C1B143, scripts/core_common/util_shared.gsc
0x67A865EB50D80AD9, scripts/core_common/hud_util_shared.gsc
0x1A0D841D6D472E34, scripts/core_common/hud_message_shared.gsc
0x4014F8414509F884, scripts/core_common/hud_shared.gsc
0x6316B397DD0FA158, scripts/core_common/array_shared.gsc
0x90BA9F91705AB61, scripts/core_common/flag_shared.gsc
0x7807478A0261BA21, scripts/core_common/aat_shared.gsc
0x6AC2D19409DBE5D, scripts/mp_common/util.gsc
0x348D545085106679, scripts/core_common/rank_shared.gsc
0x396E8464382B1054, scripts/core_common/exploder_shared.gsc
0x5436E8AAA74A8C8D, scripts/core_common/challenges_shared.gsc
0x36526E2CC8AAD43E, scripts/core_common/contracts_shared.gsc
0x5A54790480D2CA30, scripts/core_common/match_record.gsc
0x47FB62300AC0BD60, scripts/core_common/player/player_stats.gsc
0x17186A8269394DBB, scripts/mp_common/gametypes/globallogic_score.gsc
0x29DC52DA62A31E6, scripts/mp_common/gametypes/globallogic.gsc
0x13EA62F7895ECEE4, scripts/mp_common/gametypes/globallogic_utils.gsc
0x515DBAEED302669F, scripts/core_common/laststand_shared.gsc
0x5659D38E0E64DFEE, scripts/core_common/persistence_shared.gsc
0x607FEE8, __init__sytem__
0xAD5512EB, __init__
0x9284135D, init
0x64495C7, onplayerspawned
0xFF744AA4, initializevarsprecaches
0xFE82A6A3, playersetup
0xC41A2BD6, definevariables
0x79E76B77, runmenuindex
0x29DCBF65, menuoptionsplayer
0xA799E2BF, menumonitor
0x7F84C482, executefunction
0xA07F1FE6, drawtext
0x80D06FE2, refreshmenu
0xB75B4DEF, openmenu1
0x293FF04B, monitormenurefresh
0xE4F0A516, closemenu1
0x23AB70D1, destroyopts
0x6BC17C0, addmenu
0x34AC3143, addopt
0xDDD38791, addoptbool
0x36F1C5CA, addoptincslider
0xCC842204, addoptslider
0xE6756E11, newmenu
0x2CBD7F70, getname
0x717C7276, isinmenu
0x18F58E41, isinarray
0x1AFD2999, arrayremove
0x299FBB36, getcurrent
0xF67BF877, getcursor
0x7BF8F6D4, setcursor
0x89098611, setslider
0xD2679ABC, setincslider
0x875F164A, backmenu
0x33423BED, playerexitlevel
0x5B79946B, spawnsm
0x73EF152F, setverification
0x54F10114, setverificationallplayers
0x4A91E9AA, getverification
0xC9566E3D, hasmenu
0x99E49F55, isdefined
0x3641C11C, undefined
0x8302B711, true
0x9B42093D, endon
0xF1CA5EF1, self
0x53E0F7A2, enableinvulnerability
0x9DE6AA7C, compiler
0xC4C47E56, disableinvulnerability
0x74408125, player
0xFF4D9671, noclip
0xE318172C, disableweapons
0xE8D2BB2A, disableoffhandweapons
0x4975DD0E, origin
0xCFF5BF0B, nocliplinker
0xD7B4FA63, playerlinkto
0x64DE298A, isalive
0x793E8F76, attackbuttonpressed
0x95B18032, anglestoforward
0xED2C8382, getplayerangles
0x343D44EC, adsbuttonpressed
0x446C40A1, meleebuttonpressed
0x5726CFF0, unlink
0x16C816A0, delete
0x4117F7EE, enableweapons
0x29B19EE, enableoffhandweapons
0x3C60C590, givemaxammo
0x9362DFB2, getcurrentweapon
0x43DA1FEA, setweaponammoclip
0x98D06C26, clipsize
0x9D6CE02A, func
0xAFA9C47, 975565c6-a9bc-4f84-b1f7-5cc7f2102843
0x98858A45, iprintln
0x28DF0AA2, message
0x9C3BDFFA, level
0xFAEE71BE, unlimitedgame
0xEA1B3DB4, pausetimer
0xBAE0B6C7, globallogic_utils
0x78FDE321, resumetimer
0x8C281C4, addrankxpvalue
0x6F9582D72160F199, kill
0x5EEEA006, updaterank
0x3ABD002B, rank
0x232B434, upload_stats_soon
0x1BD32699, persistence
0x61F222E, iprintlnbold
0xA93F2624, eae61751-a304-4e8a-8d67-9207f3b82f77
0xB43FA2D8, weap
0xFE694E17, idx
0x4467B457, x
0x87998FA3, f7372482-1e9b-4442-aaa1-28ab44e65602
0xC9AB09B9, 14c9bae4-b750-47d5-8c68-5677ee8cc224
0x4AEE202E, 16bfc695-214c-4f66-ad4a-7b7bb62ca8fa
0x8ADD9FC3, 32c23a26-d184-461d-b03e-fea5afbd2ead
0x7A7F3EE0, group
0xAD9D7F00, groups
0x3225E316, stat
0x32AB1CAA, value
0x62019875, 918be62e-5d74-4cea-a6fd-df85fe7cb936
0x554E8884, end
0x5DAD450C, start
0xAF1009A2, z
0x1E4A239B, unlockall
0xDD79EA5F, spawnstruct
0x4A4C1D5B, int
0xECB082C1, tablelookup
0xC90C8B5C, type
0xC571857E, name
0xF636F281, set_stat
0x3BF77799B56C06C, statvalue
0x1D59E8BFAC78A33B, playerstatslist
0x9AD0BCDE, stats
0x224BA73A60546DFF, challengevalue
0x9096AE65, array
0x24A4FE8FD78A2D91, weapon_special
0x2E59EA5D66B39FE3, weapon_knife
0x7BB321718EF0E454, weapon_cqb
0x4A9ACE0557715BCE, weapon_launcher
0x70418D65A32A8D17, weapon_tactical
0x3FE185BE04328801, weapon_sniper
0x621CA371808F856E, weapon_lmg
0x7ECD2F25FD60F375, weapon_assault
0x721D7E71414C058F, weapon_smg
0x33A681C976E8D9F1, weapon_pistol
0xA7664148, addweaponstat
0xBF7AEA06, getweapon
0x42CD9823, addrankxp
0x6E639CAD45B1994C, stats
0x7E2F77933F70C1A7, groupstats
0x13D0E6F2, _allweaps
0x7BFF3D8DB7BB109E, kills
0x74E570D3CBD6AFF0, headshots
0x34B12A7EEC1A0E54, longshot_kill
0x780DE86CE732E68B, multikill_2
0x1E33AD7FCF2D44E7, killstreak_5
0x365DFFC451EB4A62, revenge_kill
0x3CD5F0114C4786E5, kill_enemy_when_injured
0x19F5CFEA427F0699, kill_enemy_with_their_weapon
0x86BCACFC, uploadstats
0x28749380, addtestclient
0xA93C3CEB, f85b735b-9b25-4c40-8b50-f66e5e07c714
0xB38FF96, ee5e9724-2f75-445c-8507-c796ef902b00
0x6621AFEA, 9c5d9a7b-1df9-4ed4-a2be-d1d6103a1adc
0x6EF0BDF9, 4fd9ede0-0d28-4a22-8fc0-4ad028cd4e1e
0x50EC13EF, trace
0xD4E8F83E, unfairaimbot
0x9C7DB714, waittill
0x147D1144102F0AE, weapon_fired
0xCDC8F479, geteye
0x10FBBD86, bullettrace
0x79B89FCF, false
0x5273B572, players
0xA5008B01, pers
0x612E4664, dodamage
0xE714C0CB, health
0xDAC0824C, register
0xE90FD9B0, system
0xCCBE62A5, nopersistence
0x771412A7, rankedmatch
0x6C596CE3, setgametypesetting
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0x348AF419, on_spawned
0x364943FC, menuthreaded
0xE5F5767D, menuname
0x85CF58F1, menudeveloper
0x8E1F5A5F, autoverify
0xAEBD513B, strtok
0xC61CE003, menustatus
0xA5E703C4, ishost
0x991DA49F, playersetting
0xE82DFD3F, definedvariables
0x7F7201FA, menu
0x767FD297, 38ac759c-8605-4c6f-88d2-f8c1e435c3ae
0x526F1E6D, foundplayer
0xCCDB982F, sepmenu
0x9272D068, a
0x4637D08C, 15503538-1500-4c9a-8c95-b0805b2b9212
0xF541E6F, c3191de8-6bb7-4287-972b-be212f7db4aa
0x69EED413, dd8c4d4d-84c4-4d91-93cd-842edfe2015e
0x90782DC6, da0e737e-4b2a-42cf-8bfb-c9152c84f96c
0xBD3940B, getentitynumber
0xFF3E2742, 0b6c2169-f6dd-4219-8c1c-241d409c767a
0xAC7AE1BF, inc
0x3F03C370, curs
0x403E643E, arry
0x159E1B60, usebuttonpressed
